Duration (in seconds),RecordedDate,Prolific ID,Investment_Chain,Sex_Chain,Alien_Chain,Sex_CCG,Alien_CCG,Investment_CCG,Sex_CCP,Alien_CCP,Investment_CCP,Investment_ControlP,Alien_ControlP,Sex_ControlP,Alien_ControlG,Sex_ControlG,Investment_ControlG,Att_Check_18,Gender,Age,Backgroupn
202,1/29/2023 13:42:14,5a2401db8c1e5c000171414e,,,,,,,,,,,,,50,90,80,23,2,45,3
204,1/29/2023 13:42:30,629f7a9685bc9e5be8bf83e7,50,61,50,,,,,,,,,,,,,23,2,35,3
244,1/29/2023 13:43:20,63d693ae1fe2460f954cc32d,,,,,,,,,,75,0,20,,,,23,1,48,2
319,1/29/2023 13:43:38,60fff225fb2da6129caf029a,,,,50,0,71,,,,,,,,,,0,2,68,1
268,1/29/2023 14:11:14,63d3fa85fbb34f6143c7458a,,,,50,50,50,,,,,,,,,,10,2,38,3
254,1/29/2023 14:12:08,5fc8c1f4c5116c2405111f99,76,71,72,,,,,,,,,,,,,23,2,49,3
189,1/29/2023 14:12:12,634688d1e6bde39515818059,,,,,,,43,34,47,,,,,,,23,1,43,"1,2"
90,1/29/2023 14:12:32,5d4d62a0c7f25f0001c86535,,,,,,,,,,70,70,30,,,,10,2,33,3
251,1/29/2023 14:12:51,59317bb14ecc2d0001e7e159,,,,,,,,,,,,,91,50,81,40,2,50,2
181,1/29/2023 14:13:05,59e611c6d838ae0001850a15,,,,,,,,,,82,65,77,,,,25,2,61,"1,2"
172,1/29/2023 14:13:06,5f429a57a972c449ac21680e,,,,,,,47,29,0,,,,,,,17,1,50,"1,2"
181,1/29/2023 14:14:30,5f3e6a4c5ec7d106ce66d203,,,,15,0,5,,,,,,,,,,23,1,41,3
68,1/29/2023 14:14:42,5fcf580e38a75a2824e4cebd,,,,,,,,,,,,,50,30,38,50,2,27,3
145,1/29/2023 14:14:44,5e23164bff2b7f5cc459fb98,,,,81,19,10,,,,,,,,,,23,1,47,3
99,1/29/2023 14:14:44,5f87293ac383790f14df903c,,,,82,78,71,,,,,,,,,,73,2,23,3
117,1/29/2023 14:14:50,60fdef5095163747e658d60a,,,,,,,70,59,100,,,,,,,9,2,25,3
209,1/29/2023 14:14:56,5d530ac47f7e0b0016ee8cde,50,50,50,,,,,,,,,,,,,23,2,68,3
118,1/29/2023 14:15:19,5c0c3112594d92000167bdcd,71,72,14,,,,,,,,,,,,,23,2,51,3
111,1/29/2023 14:15:41,5e7e6551c7c4b70becc3b666,,,,,,,,,,,,,10,48,62,13,2,53,3
196,1/29/2023 14:15:43,5e591ec38ce75712baac028e,,,,,,,,,,61,30,40,,,,55,1,43,3
202,1/29/2023 14:16:07,5c56eb0e59095a0001bac969,,,,,,,,,,95,31,50,,,,23,2,50,3
238,1/29/2023 14:16:10,5efb2e99f4926b0467487421,,,,,,,,,,,,,60,10,80,23,2,69,3
463,1/29/2023 14:17:08,5cebd7bd92147c0001d1f871,85,89,94,,,,,,,,,,,,,82,2,33,3
190,1/29/2023 14:17:23,5b5b9fdfe36fe200014d239a,,,,100,100,100,,,,,,,,,,100,1,27,3
245,1/29/2023 14:17:29,5d57d96be49322001894d554,,,,,,,87,81,36,,,,,,,23,2,53,3
166,1/29/2023 14:17:32,56e68157f6ed90000ba5855c,,,,52,50,50,,,,,,,,,,23,2,34,3
67,1/29/2023 14:17:47,5f6fb3e1e5d748575a2cff99,,,,,,,50,50,50,,,,,,,50,2,28,3
76,1/29/2023 14:17:48,63d5568c03e8842910a652c7,,,,,,,,,,50,50,50,,,,23,1,39,3
405,1/29/2023 14:17:49,5c7c38999f29bd0001349ca9,,,,,,,,,,,,,59,52,55,23,2,24,2
228,1/29/2023 14:18:11,59e9e46a1c947e00012b2621,,,,,,,2,0,65,,,,,,,19,2,59,3
61,1/29/2023 14:18:12,5e289b4c3265b00615e8d14a,,,,,,,,,,,,,60,62,66,23,2,28,1
194,1/29/2023 14:18:14,5edd44a1f800d10bb83486e1,,,,,,,100,100,100,,,,,,,23,1,28,3
80,1/29/2023 14:18:19,5fb29577ca2ab98b170f5299,,,,,,,,,,,,,5,5,90,19,1,34,3
224,1/29/2023 14:18:20,5f8b3e21f8638825023495db,,,,,,,,,,,,,72,50,75,23,2,39,3
227,1/29/2023 14:18:42,591ddde14f577a0001755f5a,,,,,,,,,,50,50,50,,,,30,2,66,3
141,1/29/2023 14:19:12,5f48b9a1f50c0e36a4c51dff,,,,,,,0,83,100,,,,,,,23,2,51,3
322,1/29/2023 14:19:15,5cae17c21bf0c400011b27d8,81,98,100,,,,,,,,,,,,,8,2,23,1
186,1/29/2023 14:19:34,5ff300745161777d3690e334,67,75,70,,,,,,,,,,,,,23,1,30,3
107,1/29/2023 14:19:36,5f2b1bcbfa2da3513cb07b77,,,,,,,,,,91,70,40,,,,23,2,21,3
79,1/29/2023 14:19:38,5e9b9eaee0e30b0b27983c50,,,,,,,,,,,,,90,100,91,23,2,22,2
152,1/29/2023 14:19:45,5b65628dcb06ee00015f6c9c,,,,69,0,60,,,,,,,,,,23,2,37,3
73,1/29/2023 14:19:46,5aa04de4dbdb470001ef1dd5,100,100,100,,,,,,,,,,,,,23,1,55,3
48,1/29/2023 14:19:49,6078649b9de64f21e3fee45d,,,,,,,,,,,,,50,68,31,23,2,35,3
105,1/29/2023 14:19:52,5f3e6c878e0c6807403c1941,,,,10,10,15,,,,,,,,,,23,1,34,1
288,1/29/2023 14:19:53,639cd66da34530a434be31e5,,,,95,93,94,,,,,,,,,,23,1,54,"1,2"
106,1/29/2023 14:20:13,6324d041e8feb5e33750291f,,,,,,,55,45,70,,,,,,,23,1,20,3
244,1/29/2023 14:20:20,617095ba4da3784c989f1970,,,,84,35,75,,,,,,,,,,32,2,39,3
137,1/29/2023 14:20:27,5f102f0212ea4f000a8ac9da,,,,,,,,,,50,0,20,,,,17,1,53,3
90,1/29/2023 14:20:28,61669408a4cc71a1738cf568,,,,,,,,,,,,,0,0,82,0,1,26,"1,2"
125,1/29/2023 14:20:38,5e96e342070f8a16f7f0ba15,92,88,77,,,,,,,,,,,,,23,2,31,3
201,1/29/2023 14:21:08,63d3f9134dd046702eb282e2,,,,,,,,,,90,95,100,,,,20,1,28,3
361,1/29/2023 14:21:25,5a8d9bd3eea3d300016eb7f9,82,82,65,,,,,,,,,,,,,23,2,42,3
93,1/29/2023 14:21:41,5e1ae38b2d11243260af4066,,,,,,,75,75,75,,,,,,,23,1,26,3
118,1/29/2023 14:21:42,6143217abd754c7495d8d3f7,,,,51,50,61,,,,,,,,,,23,2,26,3
66,1/29/2023 14:21:49,629623440c4ecb63261ec04f,56,52,50,,,,,,,,,,,,,26,1,23,2
106,1/29/2023 14:21:50,5fa18024e8db28293edae14e,,,,,,,,,,61,44,58,,,,23,2,29,2
176,1/29/2023 14:21:50,5cf12ddbf17e370017a278c5,,,,,,,50,50,30,,,,,,,23,2,25,3
170,1/29/2023 14:21:56,63d0094d45f08a4cfcaa568f,,,,,,,,,,30,53,70,,,,88,1,33,3
114,1/29/2023 14:22:03,5e5aa39b15b8d429d07abfd4,71,60,50,,,,,,,,,,,,,50,2,57,3
85,1/29/2023 14:22:09,59cd60b5db0cc9000147862f,,,,68,54,50,,,,,,,,,,84,2,29,3
155,1/29/2023 14:22:20,63d5030a5e59d30f3e9202b0,,,,21,50,75,,,,,,,,,,23,1,19,3
112,1/29/2023 14:22:39,5e34a72bcb3c0947f50c6df8,,,,,,,,,,82,76,73,,,,23,2,27,1
122,1/29/2023 14:22:43,5d49bec86d8eee0016dba5cf,,,,,,,,,,,,,50,19,81,86,2,31,3
395,1/29/2023 14:22:44,60057b7381d4e84a2adfe594,70,73,73,,,,,,,,,,,,,23,2,22,3
140,1/29/2023 14:23:04,62e96a45c285c272a3ee0cae,,,,,,,,,,,,,61,92,82,4,1,18,1
353,1/29/2023 14:23:05,5e10ad92a6eb6078856a5067,,,,,,,50,50,50,,,,,,,23,1,40,3
39,1/29/2023 14:23:07,5ef3efcb420ab11a45a0b8a6,,,,90,60,100,,,,,,,,,,23,1,23,3
164,1/29/2023 14:23:19,61030f837d772389c2b46051,,,,,,,40,45,48,,,,,,,23,2,49,3
108,1/29/2023 14:23:25,5ac68755fa3b4e0001737f38,,,,,,,,,,,,,50,50,100,77,2,37,3
222,1/29/2023 14:23:25,5f21fe68039e0e45fabc19af,,,,,,,,,,10,5,5,,,,23,1,35,3
133,1/29/2023 14:23:28,5ba010481eb54b00016ccfa6,,,,,,,,,,70,80,78,,,,40,2,26,3
162,1/29/2023 14:23:39,6346a78d63c9ffa7a844b59f,,,,,,,,,,83,84,65,,,,23,1,39,3
131,1/29/2023 14:23:48,59ff1a23f2e3460001eda6d5,,,,,,,70,81,82,,,,,,,61,2,31,2
241,1/29/2023 14:23:49,6049d7608658370634ee2419,,,,71,50,30,,,,,,,,,,19,2,65,3
102,1/29/2023 14:23:56,60fb3c9309e1565e8d308178,,,,,,,70,50,60,,,,,,,23,2,25,3
260,1/29/2023 14:23:58,62c7e39cd0cde8d44dda5eb5,,,,,,,75,19,70,,,,,,,23,1,64,1
272,1/29/2023 14:24:12,63d6d72bd48e61d967ef6b7d,,,,,,,20,30,41,,,,,,,40,1,34,3
64,1/29/2023 14:24:15,5ee24c57c21e4b3191f6f36c,,,,,,,,,,,,,100,100,100,23,2,40,3
141,1/29/2023 14:24:22,5ef5045049faae14e67e84af,60,32,70,,,,,,,,,,,,,66,2,27,3
222,1/29/2023 14:24:25,59ecc95b7f3d71000171e209,90,91,22,,,,,,,,,,,,,23,2,43,1
183,1/29/2023 14:24:27,5cc29fbea548c00018afb7a0,,,,50,50,50,,,,,,,,,,23,2,40,3
123,1/29/2023 14:24:28,5f4ea83146fdba0d040bedce,,,,50,50,50,,,,,,,,,,35,2,35,3
243,1/29/2023 14:24:29,5e418553f2f6bc011cbfe69a,,,,50,50,50,,,,,,,,,,23,1,38,2
388,1/29/2023 14:24:30,63d6ce129c23bac34f740bf8,,,,,,,,,,,,,50,19,80,23,1,40,1
204,1/29/2023 14:24:33,5aeb078c1447960001fb64c7,,,,,,,,,,,,,65,60,70,23,2,31,3
234,1/29/2023 14:24:45,61504a407a08a977b6ccf929,60,81,5,,,,,,,,,,,,,10,3,24,2
104,1/29/2023 14:24:45,5ff47c8b173bfb6779d53168,,,,,,,63,63,62,,,,,,,23,2,21,1
103,1/29/2023 14:24:46,5ecb877711970533c403ae1e,,,,,,,70,80,90,,,,,,,30,1,39,3
163,1/29/2023 14:24:49,5f78ef3b0d1ba7149f1fbbe9,,,,,,,,,,61,50,64,,,,55,2,39,3
195,1/29/2023 14:25:06,59a119aeec2f75000124ee82,82,20,50,,,,,,,,,,,,,23,2,57,3
86,1/29/2023 14:25:09,606ba0d519d303d429f386ee,75,73,60,,,,,,,,,,,,,25,2,26,3
102,1/29/2023 14:25:18,63d693ae1fe2460f954cc32d,,,,19,19,50,,,,,,,,,,23,1,48,3
184,1/29/2023 14:25:21,5ce1ce6755fe0d001a69c829,,,,,,,,,,80,60,30,,,,23,2,26,1
534,1/29/2023 14:25:23,62cd9b574168d35f624d1ed7,81,81,81,,,,,,,,,,,,,9,2,42,3
142,1/29/2023 14:25:24,62c5ca76834e90075b41d7d1,,,,,,,,,,88,92,88,,,,16,2,39,3
126,1/29/2023 14:25:30,604423288e681f4949e19e9b,,,,,,,61,50,50,,,,,,,7,2,31,3
116,1/29/2023 14:25:50,58b718c7e38022000152c828,,,,,,,,,,,,,15,7,13,23,1,29,"1,2"
181,1/29/2023 14:25:58,63792c65e92e706fdb44c08a,70,40,71,,,,,,,,,,,,,23,2,51,3
98,1/29/2023 14:26:00,60f4a3113ba3b752866cc67f,,,,,,,,,,58,60,59,,,,23,3,30,2
129,1/29/2023 14:26:03,5fbe5970bab57b370ebff7a3,,,,,,,,,,,,,49,100,82,23,2,44,3
129,1/29/2023 14:26:13,5c327a791a99ff0001559cfc,,,,51,40,50,,,,,,,,,,23,2,29,3
143,1/29/2023 14:26:16,634b675e52c216918a02f17e,,,,,,,,,,85,20,77,,,,6,2,39,3
109,1/29/2023 14:26:20,5ecd4fd21c94a20976d923e4,,,,,,,,,,90,77,59,,,,23,2,39,3
136,1/29/2023 14:26:24,62e154f05a9102fd27cdf5fd,,,,,,,,,,76,100,19,,,,23,2,32,3
208,1/29/2023 14:26:25,63d563ba3b8dcb173ff567c5,,,,40,50,70,,,,,,,,,,30,1,43,3
155,1/29/2023 14:26:26,62ce9e5c0d6c8df3051e01ea,61,85,49,,,,,,,,,,,,,23,1,42,3
193,1/29/2023 14:26:29,5ac22f45436f550001ffbad2,,,,,,,,,,,,,100,8,0,23,1,65,3
75,1/29/2023 14:26:33,5dcdbf658d32d102ba69e839,,,,,,,,,,,,,72,80,79,23,2,37,3
112,1/29/2023 14:26:36,5c891db91dcc91000191d4ab,,,,,,,70,50,100,,,,,,,70,1,51,1
182,1/29/2023 14:26:38,594ef8ef6d3780000120d4d9,43,65,94,,,,,,,,,,,,,23,2,54,3
73,1/29/2023 14:26:46,5a370b2fc82921000136bea1,93,94,90,,,,,,,,,,,,,0,1,44,2
65,1/29/2023 14:26:53,5e1e7c1a06121f1c3b89f2f9,100,100,100,,,,,,,,,,,,,100,2,30,3
181,1/29/2023 14:26:56,5e6fc1d5d6d43357de8e6edc,,,,36,54,65,,,,,,,,,,23,1,41,3
97,1/29/2023 14:26:57,607071f1035f1d4ecb830e21,,,,,,,,,,,,,25,70,64,64,2,22,3
127,1/29/2023 14:26:58,5c6c81054d186e00011606d7,68,78,87,,,,,,,,,,,,,23,2,44,3
184,1/29/2023 14:26:59,5eb3138319f0500f2004d2e9,,,,,,,83,82,84,,,,,,,23,2,60,3
197,1/29/2023 14:27:01,5f2dde4e9832d7121893d5a7,,,,,,,,,,60,50,20,,,,47,1,28,3
178,1/29/2023 14:27:03,5b71e90a8050b70001794995,,,,,,,,,,,,,50,37,34,23,2,40,3
55,1/29/2023 14:27:05,5ead55f5edd13c3d8e59b65d,,,,,,,75,80,60,,,,,,,23,1,18,2
157,1/29/2023 14:27:07,61bb367840db417c1a138872,,,,,,,41,80,78,,,,,,,81,1,27,1
192,1/29/2023 14:27:14,5f4f92a3ef108806270215c9,80,93,73,,,,,,,,,,,,,23,2,44,3
114,1/29/2023 14:27:15,5cb70df7a5f1810001d1414f,,,,,,,,,,61,72,57,,,,23,2,24,"1,2"
152,1/29/2023 14:27:20,60ae7c238a9c9f9a8b59e4b1,,,,,,,,,,77,77,81,,,,80,2,19,1
157,1/29/2023 14:27:27,5b98c3a8bb32a600018310bd,,,,,,,,,,,,,48,51,56,23,2,47,3
226,1/29/2023 14:27:29,5f3869432ee10f387a4ba415,,,,,,,,,,,,,40,81,60,23,2,54,"1,2"
181,1/29/2023 14:27:30,63d3f3679cadea9061e343a1,,,,,,,40,60,50,,,,,,,62,2,20,"1,2"
141,1/29/2023 14:27:37,5b550c6e303c330001660747,55,61,50,,,,,,,,,,,,,48,2,50,3
131,1/29/2023 14:27:39,5a286e9c564bdf0001646408,,,,100,100,100,,,,,,,,,,9,2,38,3
77,1/29/2023 14:27:49,5ea950e4befef302772be716,,,,,,,,,,100,60,0,,,,60,1,21,3
164,1/29/2023 14:27:54,5fa3f7e08b658405a2f1bd36,,,,,,,36,81,71,,,,,,,23,2,27,3
157,1/29/2023 14:27:57,6130bf45d26aace770c8a217,,,,,,,84,8,82,,,,,,,50,2,64,3
91,1/29/2023 14:28:05,6318cdf47e42a66b57002bf6,,,,19,0,20,,,,,,,,,,23,1,22,3
237,1/29/2023 14:28:06,603b7ab25cdecc83ecdf0bd2,,,,60,52,70,,,,,,,,,,23,2,52,3
109,1/29/2023 14:28:16,62a0b28dc9a9b87ee9154b1d,,,,,,,,,,50,50,50,,,,50,1,31,3
189,1/29/2023 14:28:18,63b8134835833e94c322ea48,,,,,,,,,,40,20,65,,,,10,2,49,3
198,1/29/2023 14:28:19,5edfeb15743509317e9ec17c,,,,,,,,,,,,,63,70,72,30,1,30,3
121,1/29/2023 14:28:38,5aa6e3d04eecca0001ddfc96,,,,,,,,,,,,,60,60,70,23,1,29,3
119,1/29/2023 14:28:38,5f292fcf1c0b59026ec1c55b,,,,,,,23,7,83,,,,,,,23,2,22,1
213,1/29/2023 14:28:43,6151dbfcd1e197a0f178ed1a,,,,,,,,,,,,,80,87,71,23,2,67,3
194,1/29/2023 14:28:43,5a022e98728b1b0001ad8b6b,,,,,,,,,,,,,76,72,42,12,2,67,3
300,1/29/2023 14:28:46,63d56fa12adc26994685cff1,,,,80,80,80,,,,,,,,,,23,2,50,3
191,1/29/2023 14:28:51,5422cca4fdf99b328c91b21b,84,79,32,,,,,,,,,,,,,23,2,38,3
145,1/29/2023 14:28:52,5ea1a92e9a4975074e327627,35,61,50,,,,,,,,,,,,,23,2,52,3
123,1/29/2023 14:28:53,609ba4f337607a8498820c4a,,,,,,,,,,,,,62,54,62,23,2,24,3
143,1/29/2023 14:28:54,5ae9cde00335e200019e9eed,91,21,9,,,,,,,,,,,,,23,2,26,3
311,1/29/2023 14:28:58,63d447dff5d5b197f0d02275,,,,40,50,70,,,,,,,,,,23,1,29,2
167,1/29/2023 14:29:05,589f019c69733b0001af54df,,,,,,,56,53,55,,,,,,,23,2,59,3
168,1/29/2023 14:29:07,60e0675ef11003151efea149,,,,,,,,,,62,60,59,,,,23,2,23,3
123,1/29/2023 14:29:07,610be855f519acd254b1eb79,,,,87,50,88,,,,,,,,,,23,2,23,1
270,1/29/2023 14:29:33,5dee361d828afe4d8df30937,,,,71,60,90,,,,,,,,,,8,2,76,3
163,1/29/2023 14:29:36,5d261eaf9ade730019b9c25c,90,90,85,,,,,,,,,,,,,23,2,63,3
139,1/29/2023 14:29:39,6143bc416c945d9515362877,,,,,,,90,90,91,,,,,,,23,1,35,3
188,1/29/2023 14:29:50,5ecebe9b807bc32a971e2174,,,,,,,60,50,50,,,,,,,0,2,34,3
196,1/29/2023 14:30:05,5c980d0ecff9b20016cae76f,,,,,,,,,,70,40,60,,,,23,1,41,3
148,1/29/2023 14:30:22,5c3a4e759e794d000129a225,,,,24,50,30,,,,,,,,,,23,2,36,3
469,1/29/2023 14:30:41,5c5c75d6329ee20001083061,,,,81,31,82,,,,,,,,,,23,1,40,1
286,1/29/2023 14:30:41,63d581babfbf05d4c83027f6,,,,20,51,33,,,,,,,,,,23,2,44,3
276,1/29/2023 14:30:47,60dd27004a74c325f5b22e17,74,91,71,,,,,,,,,,,,,23,1,20,2
247,1/29/2023 14:30:51,575d5df57c83cc000759accd,,,,,,,8,50,50,,,,,,,23,2,57,3
266,1/29/2023 14:31:11,5fec4bf28fd71dda83c7f34e,,,,,,,,,,80,50,10,,,,23,1,36,3
834,1/29/2023 14:33:47,5b82d4fda284bc000193094c,,,,,,,,,,,,,76,64,70,23,1,32,3
430,1/29/2023 14:34:12,5f6c69c8ef3322000b04fc6a,,,,,,,,,,,,,0,90,100,23,2,36,3
842,1/29/2023 14:37:52,5da8df14cb9d010017a85eb7,81,68,80,,,,,,,,,,,,,23,2,37,3
159,1/29/2023 14:38:59,60b610d8c3c4f177c8337729,,,,,,,,,,100,100,100,,,,0,1,37,3
139,1/29/2023 14:47:37,60da1a1103a45cea0c2d211c,,,,,,,80,80,80,,,,,,,23,2,21,3
17710,1/29/2023 15:17:30,5e8db02f9b5ff0033fb25a8a,,,,,,,,,,100,50,30,,,,25,2,29,3
3638,1/29/2023 15:19:37,5c119770d47b0000014994aa,14,66,17,,,,,,,,,,,,,20,1,35,1